Zeit;wasserstand;wasserstand_status;abfluss;abfluss_status
2012-11-06 00:00:00;42.0;0;2.3783;1
2012-11-07 00:00:00;42.0;0;2.1519;1
2012-11-08 00:00:00;42.0;0;1.65;1
2012-11-09 00:00:00;43.0;0;0.6612;1
2012-11-10 00:00:00;44.0;0;0.6171;1
2012-11-11 00:00:00;44.0;0;0.6427;1
2012-11-12 00:00:00;43.0;0;1.6846;1
2012-11-13 00:00:00;42.0;0;2.1333;1
2012-11-14 00:00:00;43.0;0;0.7162;1
2012-11-15 00:00:00;44.0;0;0.6928;1
2012-11-16 00:00:00;44.0;0;0.6612;1
2012-11-17 00:00:00;44.0;0;0.5234;1
2012-11-18 00:00:00;44.0;0;0.6062;1
2012-11-19 00:00:00;44.0;0;1.6216;1
2012-11-20 00:00:00;43.0;0;2.2517;1
2012-11-21 00:00:00;43.0;0;2.0869;1
2012-11-22 00:00:00;42.0;0;1.6928;1
2012-11-23 00:00:00;43.0;0;0.5868;1
2012-11-24 00:00:00;44.0;0;0.6418;1
2012-11-25 00:00:00;44.0;0;2.02;1
2012-11-26 00:00:00;43.0;0;1.8623;1
2012-11-27 00:00:00;44.0;0;0.6656;1
2012-11-28 00:00:00;44.0;0;0.6154;1
2012-11-29 00:00:00;44.0;0;1.0284;1
2012-11-30 00:00:00;43.0;0;2.4992;1
2012-12-01 00:00:00;43.0;0;2.5217;1
2012-12-02 00:00:00;43.0;0;2.2219;1
2012-12-03 00:00:00;43.0;0;2.256;1
2012-12-07 00:00:00;43.0;0;2.4027;1
2012-12-08 00:00:00;43.0;0;1.0341;1
2013-02-05 00:00:00;48.0;0;7.4021;1
2013-02-06 00:00:00;48.0;0;8.301;1
2013-02-07 00:00:00;45.0;0;8.9754;1
2013-02-08 00:00:00;44.0;0;9.1056;1
2013-02-09 00:00:00;43.0;0;8.9802;1
2013-02-10 00:00:00;43.0;0;8.8202;1
2013-02-11 00:00:00;42.0;0;8.9235;1
2013-02-12 00:00:00;41.0;0;8.5027;1
2013-02-13 00:00:00;43.0;0;7.8479;1
2013-02-14 00:00:00;42.0;0;7.7656;1
2013-02-15 00:00:00;43.0;0;7.7338;1
2013-02-16 00:00:00;43.0;0;7.5094;1
2013-02-17 00:00:00;43.0;0;7.3419;1
2013-02-18 00:00:00;42.0;0;7.3027;1
2013-02-19 00:00:00;42.0;0;7.4352;1
2013-02-20 00:00:00;42.0;0;7.2448;1
2013-02-21 00:00:00;42.0;0;7.0846;1
2013-02-22 00:00:00;43.0;0;6.9517;1
2013-02-28 00:00:00;41.0;0;5.6002;1
2013-03-01 00:00:00;42.0;0;4.6796;1
2013-03-02 00:00:00;41.0;0;4.5819;1
2013-03-03 00:00:00;40.0;0;4.2513;1
2013-03-04 00:00:00;41.0;0;2.3238;1
2013-03-05 00:00:00;43.0;0;0.9024;1
2013-03-14 00:00:00;42.0;0;2.0502;1
2013-03-15 00:00:00;43.0;0;0.845;1
2013-03-16 00:00:00;44.0;0;0.8382;1
2013-03-17 00:00:00;44.0;0;1.2294;1
2013-03-18 00:00:00;44.0;0;2.3223;1
2013-03-19 00:00:00;44.0;0;2.68;1
2013-03-20 00:00:00;44.0;0;2.465;1
2013-03-21 00:00:00;43.0;0;3.2467;1
2013-03-22 00:00:00;42.0;0;3.5746;1
2013-03-23 00:00:00;41.0;0;3.349;1
2013-03-24 00:00:00;41.0;0;3.225;1
2013-03-25 00:00:00;41.0;0;2.2577;1
2013-03-26 00:00:00;41.0;0;1.594;1
2013-03-27 00:00:00;41.0;0;1.5783;1
2013-03-28 00:00:00;42.0;0;1.6413;1
2013-03-29 00:00:00;43.0;0;1.9102;1
2013-03-30 00:00:00;44.0;0;2.9273;1
2013-03-31 00:00:00;44.0;0;3.909;1
2013-04-01 00:00:00;44.0;0;3.8371;1
2013-04-02 00:00:00;44.0;0;3.8952;1
2013-04-03 00:00:00;45.0;0;4.041;1
2013-04-04 00:00:00;46.0;0;4.126;1
2013-04-05 00:00:00;47.0;0;5.0898;1
2013-04-06 00:00:00;47.0;0;5.1821;1
2013-04-07 00:00:00;50.0;0;4.3919;1
2013-04-08 00:00:00;49.0;0;5.0294;1
2013-04-09 00:00:00;49.0;0;4.9465;1
2013-04-10 00:00:00;49.0;0;5.7263;1
2013-04-11 00:00:00;46.0;0;7.1704;1
2013-04-12 00:00:00;46.0;0;7.1596;1
2013-04-13 00:00:00;45.0;0;6.9185;1
2013-04-14 00:00:00;44.0;0;6.4652;1
2013-04-15 00:00:00;45.0;0;4.5142;1
2013-04-16 00:00:00;45.0;0;4.3777;1
2013-04-17 00:00:00;44.0;0;4.204;1
2013-04-18 00:00:00;44.0;0;3.9931;1
2013-04-19 00:00:00;43.0;0;3.3163;1
2013-04-20 00:00:00;43.0;0;2.2184;1
2013-04-21 00:00:00;43.0;0;0.9154;1
2013-04-22 00:00:00;44.0;0;0.8971;1
2013-04-23 00:00:00;45.0;0;1.318;1
2013-04-24 00:00:00;44.0;0;2.6273;1
2013-04-25 00:00:00;44.0;0;2.1519;1
